Names,Prices,Neighbourhoods,Number_of_reviews,Ratings,Type_of_hotels
The Circus,€€,Mitte,33,4.5,Hotels
Soho House,€€€,Prenzlauer,85,4,Hotels
Hotel Axel Springer am Deutschen Herzzentrum,€€€,Wedding,2,5,B&BsHotels
elite city guide,,,,,HotelsMitte
Steps-Hotel,,,2,4.5,HotelsHostelsWedding
Schall & Rauch,€€,Prenzlauer,3,4.5,Hotels
i31 Hotel,€€,Mitte,19,4.5,Hotels
The Dude,€€,Mitte,3,4,Hotels
Mercure Hotel MOA Berlin,€€,Tiergarten,9,3.5,Hotels
AC Hotel by Marriott Berlin Humboldthain Park,,,4,3.5,HotelsWedding
Apartment Schulz,€,Prenzlauer,1,5,Hotels
Hotel Grenzfall,€€,Wedding,7,5,Hotels
Arena Inn,€,Wedding,2,3,Hotels
Catalonia Mitte,€€€,Mitte,7,3,Hotels
"The Ritz-Carlton, Berlin",€€€€,Tiergarten,53,4.5,Hotels
Hotel Vienna House Easy,€,Prenzlauer,4,4.5,Hotels
"The Westin Grand, Berlin",€€€,Mitte,102,4,Hotels
Radisson Blu,€€€,Mitte,129,4.5,Hotels
Three Little Pigs,€,Kreuzberg,22,4,HostelsHotels
HOTEL Schöneberg,€€,Schöneberg,1,4,Hotels
Avus - Motel,€€,Charlottenburg,4,4,Hotels
Wyndham Garden Berlin Mitte,€€,Wedding,26,3,Hotels
hotel funghi,,,1,5,HotelsKreuzberg
Holiday Inn Express,€€,Kreuzberg,37,4,Hotels
TITANIC Chaussee Berlin,€€€,Mitte,19,3.5,HotelsHealth Spas
berlin aloha suites,,,,,HotelsKreuzberg
Schlosspark Hotel,€€€,Charlottenburg,6,4,Hotels
Pullman Berlin Schweizerhof,€€€,Tiergarten,70,4.5,Hotels
A & N Hotels,,,,,HotelsTempelhof
Hotel Amano Grand Central,€€€,Tiergarten,15,3.5,Hotels
Huettenpalast,,,1,5,HotelsReuterkiez
Hotel 103,€,Prenzlauer,12,4.5,Hotels
TITANIC Gendarmenmarkt Berlin,€€€,Mitte,17,3.5,Hotels
Das Hotel,€€,Kreuzberg,47,4,BarsClubs
nhow BERLIN,€€€,Friedrichshain,84,4,Hotels
Hotel Adlon Kempinski,€€€€,Mitte,88,4.5,Hotels
Orania,,,2,3,HotelsKreuzberg
Adina Hotel Berlin Checkpoint Charlie,€€,Mitte,38,4.5,Hotels
Hotel Vier Jahreszeiten,€€,Kreuzberg,2,4.5,Hotels
Concorde Hotel am Studio,€,Charlottenburg,4,3.5,B&BsHotels
Cross-Country Hotel Prinzregent,€,Wilmersdorf,5,1.5,B&BsHotels
Villa Toskana,,,1,4,HotelsSteglitz
ibis budget,€€,Charlottenburg,15,3,Hotels
Eurostars,€€,Mitte,6,4.5,Hotels
Motel One Berlin-Potsdamer Platz,€€,Mitte,10,4.5,Hotels
ibis Styles Berlin Treptow,,,,,HotelsTreptow
Michelberger Hotel,€€,Friedrichshain,43,4,Hotels
Hotel Albrechtshof,€€,Mitte,14,4.5,Hotels
B&B Hotel Berlin-Tiergarten,,,2,4,B&BsCharlottenburg
Hotel Petit,,,,,HotelsZehlendorf
IntercityHotel Berlin Hauptbahnhof,€€,Tiergarten,23,4,Hotels
Renate Bendzko-Schljachow,,,,,Hotels
Die Fabrik,€,Kreuzberg,16,3.5,Hotels
Holiday Inn Express,€€,Mitte,2,4.5,Hotels
Hotel Kronprinz,€€€,Wilmersdorf,13,3.5,Hotels
Select Hotel Berlin The Wall,€€,Mitte,7,4.5,Hotels
Riverside Hotel,€€,Mitte,24,4,Hotels
City-Hotel Gotland,,,3,2.5,HotelsKreuzberg
Holiday Inn Berlin - City East Side,€€,Friedrichshain,9,4,Hotels
Chrome Cottage,,,1,5,HotelsFriedrichshain
Hotel Bongard,€€€€,Reinickendorf,6,3.5,Hotels
Citylight Hotel,€€,Wedding,14,4,Hotels
Steigenberger Hotel Am Kanzleramt,€€€,Tiergarten,18,3.5,Hotels
Motel One Berlin-Hauptbahnhof,€€,Tiergarten,45,4.5,Hotels
Hotel Pension Delta,€€€,Schöneberg,5,4.5,HotelsB&Bs
Hotel Haus Bismarck,€,Wilmersdorf,3,4.5,BarsB&BsHotels
Mercure,€€,Reinickendorf,14,3.5,Hotels
Apartmenthaus-Tegel,,,,,HotelsReinickendorf
Hotel Bornholmer Hof,€€,Prenzlauer,2,4.5,Hotels
Pe’s Castle,,,,,HotelsNeukölln
Hotel Am Hermannplatz,€,Kreuzberg,1,3,Hotels
Hotel Die Schule,,,,,HotelsPrenzlauer Berg
B&B Hotel Berlin-Charlottenburg,,,2,4,HotelsCharlottenburg
Columbia City Hotel,€€,Kreuzberg,6,3,Hotels
Hotel Ludwig van Beethoven,€€,Kreuzberg,10,4.5,Hotels
Hotel Alt Tempelhof,€€,Tempelhof,6,3.5,Hotels
Riehmers Hofgarten,,,5,4,HotelsKreuzberg
Dahlem,€,Zehlendorf,1,2,Hotels
Holiday Inn Berlin City Center East Prenzlauer Berg,,,1,5,HotelsPrenzlauer Berg
Akademie Hotel,,,3,3,HotelsPankow
Hotel NH Berlin Alexanderplatz,€€,Friedrichshain,29,4,Hotels
"Central Hotel Tegel,",€€,Reinickendorf,,,Hotels
Konsum Hotel Müggelsee,,,,,HotelsLichtenberg
East-Side-Hotel,€€,Friedrichshain,16,4,Hotels
Schulz Hotels,,,2,4.5,HotelsFriedrichshain
Pension Falkenberg,,,,,HotelsReinickendorf
Romantic Modern Centre Apartment,,,,,HotelsPrenzlauer Berg
Central Inn Hotel,,,2,1.5,HotelsTiergarten
Hotel Alt Karow,,,,,HotelsWeißensee
Pension Leopold,,,,,HotelsWedding
25hours Hotel Bikini Berlin,€€€,Wilmersdorf,20,4.5,Hotels
B&B Hotel Berlin-Potsdamer Platz,€,Tiergarten,7,4,Hotels
Evangelischer Diakonieverein,,,1,5,HotelsZehlendorf
Old Town Hotel Berlin,€€,Prenzlauer,4,4.5,Hotels
Dorint,€€,Reinickendorf,3,4,Hotels
Good Morning+ Berlin City East,,,1,4,HotelsLichtenberg
Erlanger Hof,,,3,3,HotelsNeukölln
Hotel Garden Living,€€,Mitte,2,5,Hotels
Hotel Pension Canaletto,,,2,1,HotelsHoliday RentalsB&BsTempelhof
ibis Berlin City Nord,€,Reinickendorf,7,2,Hotels
Plus Berlin,,,29,4,HostelsFriedrichshain
Hotel Pension Lohwasser,€,Friedrichshain,3,4.5,Pensions
acama,€€,Schöneberg,1,4,Hotels
Best Western Premier Hotel am Borsigturm,€€,Reinickendorf,17,4,HotelsGerman
FSC Hotel Solutions,,,,,HotelsReinickendorf
Leonardo,€€,Charlottenburg,9,3.5,Hotels
Hotel Gotland,,,1,5,HotelsSteglitz
MEININGER Hotel Berlin Mitte “Humboldthaus”,€€,Mitte,11,4,Hotels
Pension Marie,€€€,Prenzlauer,2,2,Hotels
Rocco Forte Hotel de Rome,€€€€,Mitte,31,4,Hotels
Hapimag,,,2,5,ResortsMitte
Hotel Schloss Britz,€€,Britz,1,4,Hotels
Pension am Rüdesheimer Platz,€€,Wilmersdorf,7,1.5,Pensions
Hotel AMO,,,1,4,HotelsMitte
Victor’s Residenz-Hotel Berlin-Tegel,€€,Reinickendorf,13,3.5,Hotels
Hotel - Pension Kossack,€€,Schöneberg,3,4.5,Hotels
Ibis Berlin Spandau,,,,,HotelsSpandau
ibis Styles Hotel Berlin Mitte,€€,Mitte,14,3.5,Hotels
Ackselhaus,€€€,Prenzlauer,16,4.5,Hotels
Axel Hotel,€€€,Schöneberg,34,2.5,Hotels
Hotel Prens,€,Reuterkiez,9,2.5,Hotels
"Hotel-Pension Enzian,",€€,Steglitz,1,4,Hotels
Seminaris CampusHotel Berlin,€€,Zehlendorf,8,4,Hotels
Best Western Premier Hotel Steglitz International,€€,Steglitz,20,3,Hotels
TG Gastronomie und Hotellerie,,,,,HotelsSpandau
Johann,€€,Kreuzberg,9,4.5,Hotels
Pension am Helios,€,,,,Pensions
pension schultze,€€,Steglitz,1,5,Hotels
Gaststätte Großbeerenkeller,€€,Kreuzberg,,,Hotels
Hotel Haus La Garde,,,,,B&BsHotelsZehlendorf
ApartHotel Residenz Am Deutschen Theater,,,5,5,HotelsMitte
Pension Freddi,,,1,4,PensionsKreuzberg
Mercure Hotel Berlin City,€€,Mitte,29,4,HotelsVenues & Event Spaces
Hotel New Berlin,€€,Friedrichshain,18,4.5,Hotels
La Vie Hotel Joachimshof,,,1,3,HotelsMitte
Hotel Grüner Baum Berlin,€,Spandau,2,5,HotelsB&BsRestaurants
Hotel NH Collection Berlin Mitte Friedrichstrasse,€€,Mitte,23,4,Hotels
Das Andere Haus VIII,€,Lichtenberg,3,4.5,Hotels
Pestana Berlin Tiergarten,€€,Tiergarten,7,4.5,Hotels
Hotel zur Panke Restaurant und Bowling,€,,2,4.5,HotelsBowling
Hotel Garni,€€,Reinickendorf,1,5,B&BsHotels
Motel One Berlin-Hackescher Markt,€€,Mitte,13,4,Hotels
Zimmervermietung Sachse,,,,,Hotels
HOTEL BIG MAMA,,,,,HotelsWedding
Berlin Marriott Hotel,€€€,Tiergarten,75,4,HotelsVenues & Event Spaces
ibis Berlin Neukoelln,€€,Britz,4,3.5,Hotels
TRYP Berlin,€€,Mitte,10,3.5,Hotels
Hotel CD,,,,,HotelsReinickendorf
Hotel Amano,€€€,Mitte,80,4,Hotels
Hotel TULIP INN,,,,,HotelsFriedrichshain
In Hotel Berlin,,,1,5,HotelsSteglitz
Courtyard by Marriott Berlin City Center,€€,Mitte,31,4,Hotels
Hotel Potsdamer Inn,€€€,Schöneberg,5,3,Hotels
Hotel-Pension Insor,,,1,4,HotelsGuest HousesFriedrichshain
CityWest Berlin Apartments,,,,,HotelsSchöneberg
Landmark Eco Hotel,€,Charlottenburg,3,4,Hotels
Grand Hyatt Berlin,€€€,Tiergarten,98,4.5,HotelsVenues & Event Spaces
Lindemanns,€€,Schöneberg,15,4,Hotels
Pfefferbett Hostel,,,26,4.5,HostelsPrenzlauer Berg
Hotel Haus Leopold,€€,Zehlendorf,5,4,Hotels
Adina Hotel Berlin Mitte,€€,Mitte,7,4.5,Hotels
hostelix,,,,,Estate AgentsHotelsLichtenberg
HSH Hotel Apartments Mitte,€€,Mitte,4,4.5,Hotels
Hotel NH Berlin City West,€€,Wilmersdorf,13,2.5,Hotels
Sheraton Berlin Grand Hotel Esplanade,€€€,Tiergarten,77,4,Hotels
Generator Berlin Prenzlauer Berg,€,Prenzlauer,49,3,Hotels
"BB Hotel,",,,,,HotelsSchöneberg
H+ Hotel 4Youth,€€,Mitte,5,4.5,Hotels
Hampton by Hilton Berlin City West,€€,Charlottenburg,24,4.5,Hotels
GFH Hotel Garni,,,,,B&BsHotelsWilmersdorf
Hotel Spree-idyll,€€,Köpenick,3,5,Hotels
Best Western Hotel Berlin-Mitte,€€,Mitte,14,3,Hotels
Parkhotel Marzahn,,,2,4,HotelsMarzahn
Hotel-Pension Rehberge,€,Wedding,4,2.5,Hotels
Hotel Brandies Berlin,€€,Charlottenburg,14,4.5,Hotels
Ehrendreich,,,,,Hotels
Bernstein,,,1,4,HotelsWilmersdorf
Hotel Landhaus Alpinia,€€€,Tempelhof,6,4,Hotels
Hotel-Pension Jolly,,,,,Hotel & TravelTiergarten
Novum Style Hotel DAS Berlin Centrum,€€,Charlottenburg,10,4.5,Hotels
Hotel Larat,€,Reinickendorf,8,3,Hotels
Hotel Ku’ Damm 101,€€,Charlottenburg,40,4,Hotels
Pension Regenbogen,,,4,4,HotelsGuest HousesFriedrichshain
tiergarten-studio,,,1,5,Car & MotorcycleHotelsTiergarten
Good Mood Living,,,,,HotelsSchöneberg
easyHotel,€,Mitte,16,4,Hotels
1A - Apartment - Berlin,,,4,3,B&BsPrenzlauer Berg
Volker Nissen,,,,,HotelsWilmersdorf
Hotel Tiergarten Berlin,€€,Tiergarten,7,4.5,Hotels
Clipper City Home Berlin,€€,Mitte,12,4,Hotels
Myer’s Hotel,€€,Prenzlauer,12,4.5,Hotels
Best Western Hotel am Spittelmarkt,€€,Mitte,21,3.5,Hotels
Hotel Tegel,,,,,HotelsReinickendorf
Klassik Hotel,€€,Friedrichshain,10,3.5,Hotels
Econtel Hotel Berlin Charlottenburg,€€,Charlottenburg,14,3,Hotels
Hotel Am Luisenbad,,,,,HotelsWedding
Sofitel Berlin Kurfürstendamm,€€€,Wilmersdorf,75,4.5,Hotels
Sevenrooms,,,,,HotelsTiergarten
Hotel Köpenick,,,1,4,HotelsTreptow
Hotel Allegra,€€,Mitte,3,2.5,Hotels
Upper Room Hotel,€€,Wilmersdorf,2,2,Hotels
Hotel Pension Kastanienhof,€€,Mitte,4,4,HotelsGuest Houses
Herberge Große,,,,,HotelsSchillerkiez
Gasthaus Zum Weißen Schwan,€€,,16,4.5,GermanPensionsBeer Gardens
ApartHotel Landhaus Lichterfelde,€€,Steglitz,2,2,Hotels
Seehotel Berlin-Rangsdorf,€€,,6,4,Hotels
Seeresidenz am Müggelsee,,,,,HotelsKöpenick
Lübarser Hufeisen,€€€,Reinickendorf,28,2,Pensions
ibis budget Berlin Kurfürstendamm,€€,Schöneberg,8,4.5,Hotels
ibis Berlin Ostbahnhof Hotel,€€,Friedrichshain,21,3.5,Hotels
Zarenhof Hotels & Apartments,€€,Prenzlauer,11,4.5,Hotels
Hotel An Der Havel,€€,,7,3,Hotels
Hotel Hirschen,,,,,HotelsSchöneberg
Sportcasino im Horst Korber Sportzentrum Höfs u,,,,,HotelsCharlottenburg
Holiday Inn Berlin City West,€€,Spandau,19,2.5,Hotels
Hotel Ambassador-Berlin-Grünau,,,,,HotelsKöpenick
Hotel Alte Feuerwache,€€,Hohenschönhausen,3,4.5,Hotels
Hilton Berlin,€€€,Mitte,110,4,Hotels
Hotel Zur Reichspost,€€,Kreuzberg,2,1,B&BsHotels
ibis budget,€€,Tiergarten,6,3.5,Hotels
